date,minute,label,high,low,open,close,average,volume,symbol
2025-04-02,14:58,02:58 PM,195.08,194.8,194.99,194.89,194.94,2503,AMZN
2025-04-02,14:57,02:57 PM,195.22,195.0,195.21,195.0,195.11,2928,AMZN
2025-04-02,14:56,02:56 PM,195.39,195.23,195.31,195.25,195.31,1655,AMZN
2025-04-02,14:55,02:55 PM,195.43,195.29,195.42,195.29,195.36,1149,AMZN
2025-04-02,14:54,02:54 PM,195.55,195.47,195.54,195.5,195.51,706,AMZN
2025-04-02,14:53,02:53 PM,195.49,195.42,195.46,195.49,195.45499999999998,1042,AMZN
2025-04-02,14:52,02:52 PM,195.49,195.3,195.35,195.45,195.395,1350,AMZN
2025-04-02,14:51,02:51 PM,195.4,195.29,195.33,195.38,195.345,1941,AMZN
2025-04-02,14:50,02:50 PM,195.48,195.39,195.48,195.4,195.435,695,AMZN
2025-04-02,14:49,02:49 PM,195.5,195.37,195.42,195.5,195.435,1595,AMZN
2025-04-02,14:48,02:48 PM,195.54,195.42,195.42,195.52,195.48,563,AMZN
2025-04-02,14:47,02:47 PM,195.56,195.37,195.56,195.41,195.465,1434,AMZN
2025-04-02,14:46,02:46 PM,195.62,195.51,195.55,195.59,195.565,1210,AMZN
2025-04-02,14:45,02:45 PM,195.59,195.55,195.57,195.56,195.57,1532,AMZN
2025-04-02,14:44,02:44 PM,195.65,195.44,195.57,195.65,195.54500000000002,1097,AMZN
2025-04-02,14:43,02:43 PM,195.71,195.45,195.67,195.47,195.57999999999998,1963,AMZN
2025-04-02,14:42,02:42 PM,195.84,195.69,195.82,195.7,195.765,1057,AMZN
2025-04-02,14:41,02:41 PM,195.79,195.7,195.7,195.79,195.745,1611,AMZN
2025-04-02,14:40,02:40 PM,195.64,195.55,195.61,195.64,195.595,809,AMZN
2025-04-02,14:39,02:39 PM,195.64,195.53,195.58,195.58,195.58499999999998,750,AMZN
2025-04-02,14:38,02:38 PM,195.62,195.51,195.61,195.61,195.565,1783,AMZN
2025-04-02,14:37,02:37 PM,195.57,195.44,195.44,195.57,195.505,439,AMZN
2025-04-02,14:36,02:36 PM,195.51,195.43,195.43,195.5,195.47,610,AMZN
2025-04-02,14:35,02:35 PM,195.39,195.16,195.29,195.36,195.27499999999998,4140,AMZN
2025-04-02,14:34,02:34 PM,195.29,195.12,195.14,195.29,195.20499999999998,6904,AMZN
2025-04-02,14:33,02:33 PM,195.16,194.94,194.94,195.12,195.05,4812,AMZN
2025-04-02,14:32,02:32 PM,195.01,194.88,195.01,194.95,194.945,4113,AMZN
2025-04-02,14:31,02:31 PM,195.03,194.89,194.91,195.0,194.95999999999998,1785,AMZN
2025-04-02,14:30,02:30 PM,194.97,194.54,194.58,194.93,194.755,3109,AMZN
2025-04-02,14:29,02:29 PM,194.78,194.63,194.73,194.69,194.70499999999998,1739,AMZN
2025-04-02,14:28,02:28 PM,194.99,194.71,194.99,194.72,194.85000000000002,2129,AMZN
2025-04-02,14:27,02:27 PM,195.16,194.93,195.16,194.99,195.04500000000002,1406,AMZN
2025-04-02,14:26,02:26 PM,195.19,195.05,195.09,195.16,195.12,2358,AMZN
2025-04-02,14:25,02:25 PM,195.13,194.9,195.0,195.12,195.015,2406,AMZN
2025-04-02,14:24,02:24 PM,195.18,194.97,195.12,195.05,195.075,4177,AMZN
2025-04-02,14:23,02:23 PM,195.6,195.15,195.57,195.15,195.375,4367,AMZN
2025-04-02,14:22,02:22 PM,195.69,195.43,195.44,195.57,195.56,3759,AMZN
2025-04-02,14:21,02:21 PM,195.47,195.29,195.45,195.45,195.38,3140,AMZN
2025-04-02,14:20,02:20 PM,195.49,195.31,195.37,195.46,195.4,2407,AMZN
2025-04-02,14:19,02:19 PM,195.35,195.21,195.32,195.32,195.28,2800,AMZN
2025-04-02,14:18,02:18 PM,195.59,195.24,195.53,195.3,195.41500000000002,3687,AMZN
2025-04-02,14:17,02:17 PM,195.57,195.29,195.31,195.51,195.43,3186,AMZN
2025-04-02,14:16,02:16 PM,195.55,195.28,195.52,195.28,195.41500000000002,2188,AMZN
2025-04-02,14:15,02:15 PM,195.58,195.33,195.34,195.5,195.455,1667,AMZN
2025-04-02,14:14,02:14 PM,195.47,195.33,195.38,195.36,195.4,2939,AMZN
2025-04-02,14:13,02:13 PM,195.46,195.36,195.4,195.39,195.41000000000003,4987,AMZN
2025-04-02,14:12,02:12 PM,195.45,195.31,195.31,195.38,195.38,2501,AMZN
2025-04-02,14:11,02:11 PM,195.42,195.25,195.25,195.28,195.33499999999998,2584,AMZN
2025-04-02,14:10,02:10 PM,195.65,195.24,195.65,195.26,195.445,3446,AMZN
2025-04-02,14:09,02:09 PM,195.66,195.46,195.49,195.55,195.56,1612,AMZN
2025-04-02,14:08,02:08 PM,195.61,195.48,195.54,195.51,195.54500000000002,3320,AMZN
2025-04-02,14:07,02:07 PM,195.61,195.41,195.61,195.49,195.51,979,AMZN
2025-04-02,14:06,02:06 PM,195.61,195.35,195.55,195.6,195.48000000000002,4665,AMZN
2025-04-02,14:05,02:05 PM,195.84,195.44,195.81,195.57,195.64,4162,AMZN
2025-04-02,14:04,02:04 PM,196.11,195.83,196.04,195.86,195.97000000000003,5921,AMZN
2025-04-02,14:03,02:03 PM,196.49,195.94,196.15,195.94,196.215,4082,AMZN
2025-04-02,14:02,02:02 PM,196.42,196.0,196.37,196.12,196.20999999999998,3685,AMZN
2025-04-02,14:01,02:01 PM,196.39,196.17,196.32,196.38,196.27999999999997,3974,AMZN
2025-04-02,14:00,02:00 PM,196.47,196.29,196.36,196.31,196.38,2192,AMZN
2025-04-02,13:59,01:59 PM,196.48,196.32,196.33,196.44,196.39999999999998,2143,AMZN
2025-04-02,13:58,01:58 PM,196.67,196.37,196.67,196.37,196.51999999999998,4788,AMZN
2025-04-02,13:57,01:57 PM,196.67,196.53,196.67,196.67,196.6,4015,AMZN
2025-04-02,13:56,01:56 PM,196.75,196.58,196.67,196.69,196.66500000000002,3688,AMZN
2025-04-02,13:55,01:55 PM,196.67,196.54,196.54,196.67,196.605,3239,AMZN
2025-04-02,13:54,01:54 PM,196.51,196.37,196.37,196.51,196.44,2472,AMZN
2025-04-02,13:53,01:53 PM,196.41,196.17,196.24,196.4,196.29,2589,AMZN
2025-04-02,13:52,01:52 PM,196.36,196.17,196.17,196.25,196.265,6229,AMZN
2025-04-02,13:51,01:51 PM,196.27,196.12,196.15,196.15,196.195,6324,AMZN
2025-04-02,13:50,01:50 PM,196.42,196.09,196.36,196.15,196.255,7011,AMZN
2025-04-02,13:49,01:49 PM,196.48,196.15,196.22,196.38,196.315,7080,AMZN
2025-04-02,13:48,01:48 PM,196.64,196.23,196.64,196.27,196.435,2921,AMZN
2025-04-02,13:47,01:47 PM,196.64,196.48,196.48,196.62,196.56,1461,AMZN
2025-04-02,13:46,01:46 PM,196.46,196.31,196.31,196.44,196.385,1868,AMZN
2025-04-02,13:45,01:45 PM,196.64,196.28,196.64,196.28,196.45999999999998,2220,AMZN
2025-04-02,13:44,01:44 PM,196.69,196.54,196.61,196.69,196.615,1543,AMZN
2025-04-02,13:43,01:43 PM,196.67,196.47,196.47,196.59,196.57,1887,AMZN
2025-04-02,13:42,01:42 PM,196.57,196.42,196.52,196.54,196.495,736,AMZN
2025-04-02,13:41,01:41 PM,196.62,196.47,196.57,196.52,196.54500000000002,2685,AMZN
2025-04-02,13:40,01:40 PM,196.68,196.46,196.58,196.54,196.57,2147,AMZN
2025-04-02,13:39,01:39 PM,196.55,196.45,196.55,196.51,196.5,1746,AMZN
2025-04-02,13:38,01:38 PM,196.65,196.44,196.44,196.54,196.54500000000002,3648,AMZN
2025-04-02,13:37,01:37 PM,196.48,196.29,196.48,196.43,196.385,5692,AMZN
2025-04-02,13:36,01:36 PM,196.64,196.45,196.58,196.45,196.545,6073,AMZN
2025-04-02,13:35,01:35 PM,196.84,196.5,196.84,196.59,196.67000000000002,3108,AMZN
2025-04-02,13:34,01:34 PM,196.91,196.52,196.54,196.78,196.715,6576,AMZN
2025-04-02,13:33,01:33 PM,196.71,196.41,196.69,196.52,196.56,9554,AMZN
